request_id,reviewer_code,source,input_mode,hr_utterance,system_context,intents,domains,workflow_ids,slots_json,missing_slots,ambiguities,sensitivity,next_action,decision,notes,reviewed_at
SEED-001,REV-B,TEAM_SYNTHETIC,AGENT_TASK,새로 입사한 외국인 직원 등록 초안 만들어줘,입사서류 PDF 선택됨,,,,{},,,,,,,
SEED-002,REV-B,TEAM_SYNTHETIC,AGENT_TASK,이 외국인등록증으로 직원 정보 등록해줘,이미지 파일 선택됨,,,,{},,,,,,,
SEED-003,REV-B,TEAM_SYNTHETIC,INTERNAL_REQUEST,외국인등록번호 변경 내용을 근로자 정보에 반영해줘,대상 근로자 미선택,,,,{},,,,,,,
SEED-004,REV-B,TEAM_SYNTHETIC,AGENT_TASK,계약서 보고 새 직원 초안 등록해줘,계약서 PDF 선택됨,,,,{},,,,,,,
SEED-005,REV-B,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,신규 외국인 직원 보험 등록에 필요한 정보 정리해줘,첨부 문서 없음,,,,{},,,,,,,
SEED-006,REV-B,TEAM_SYNTHETIC,AGENT_TASK,다음 달 체류기간이 끝나는 근로자 확인해줘,기준일 2026-07-16,,,,{},,,,,,,
SEED-007,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-001 체류연장 준비해줘,근로자 만료일 DB 조회 가능,,,,{},,,,,,,
SEED-008,REV-B,TEAM_SYNTHETIC,INTERNAL_REQUEST,7월 31일 계약 만료자 재계약 준비해줘,대상자 목록 조회 가능,,,,{},,,,,,,
SEED-009,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-002 계약을 2026년 9월 1일부터 연장할 준비를 해줘,계약종료일 DB 존재,,,,{},,,,,,,
SEED-010,REV-B,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,이번 주에 신고나 연장할 사람이 있는지 확인해줘,만료일 DB 존재,,,,{},,,,,,,
SEED-011,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-003에게 2026년 7월 24일 오후 5시까지 여권 사본을 총무팀에 제출해달라고 안내해줘,근로자 언어 vi-VN,,,,{},,,,,,,
SEED-012,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,금요일까지 외국인등록증 사본 내라고 해줘,대상 근로자 미선택,,,,{},,,,,,,
