request_id,source,input_mode,hr_utterance,system_context,intents,domains,workflow_ids,slots_json,missing_slots,ambiguities,sensitivity,next_action,expected_output,review_status
SEED-001,TEAM_SYNTHETIC,AGENT_TASK,새로 입사한 외국인 직원 등록 초안 만들어줘,입사서류 PDF 선택됨,WORKER_ONBOARDING,WORKER_PROFILE|DOCUMENT,WF-WRK-001,"{""source_document_id"":""DOC-DEMO-001""}",,,high,REQUIRE_HR_REVIEW,근로자 등록 초안,DRAFT
SEED-002,TEAM_SYNTHETIC,AGENT_TASK,이 외국인등록증으로 직원 정보 등록해줘,이미지 파일 선택됨,WORKER_ONBOARDING,WORKER_PROFILE|DOCUMENT,WF-WRK-001,"{""source_document_id"":""DOC-DEMO-002""}",,,high,REQUIRE_HR_REVIEW,OCR 필드와 원본 대조 화면,DRAFT
SEED-003,TEAM_SYNTHETIC,INTERNAL_REQUEST,외국인등록번호 변경 내용을 근로자 정보에 반영해줘,대상 근로자 미선택,WORKER_ONBOARDING,WORKER_PROFILE,WF-WRK-001,"{}",source_document_id,TARGET|OBJECT,high,REQUEST_CLARIFICATION,변경 문서 업로드 요청,DRAFT
SEED-004,TEAM_SYNTHETIC,AGENT_TASK,계약서 보고 새 직원 초안 등록해줘,계약서 PDF 선택됨,WORKER_ONBOARDING,WORKER_PROFILE|CONTRACT,WF-WRK-001,"{""source_document_id"":""DOC-DEMO-004""}",,,high,REQUIRE_HR_REVIEW,계약 필드 등록 초안,DRAFT
SEED-005,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,신규 외국인 직원 보험 등록에 필요한 정보 정리해줘,첨부 문서 없음,WORKER_ONBOARDING,INSURANCE|DOCUMENT,WF-WRK-001,"{}",source_document_id,ACTION,high,REQUEST_CLARIFICATION,필요 정보와 문서 업로드 안내,DRAFT
SEED-006,TEAM_SYNTHETIC,AGENT_TASK,다음 달 체류기간이 끝나는 근로자 확인해줘,기준일 2026-07-16,EXPIRY_RENEWAL,STAY,WF-STY-001,"{}",worker_id|due_at,TIME|TARGET,high,REQUEST_CLARIFICATION,대상 후보 목록,DRAFT
SEED-007,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-001 체류연장 준비해줘,근로자 만료일 DB 조회 가능,EXPIRY_RENEWAL,STAY|DOCUMENT,WF-STY-001,"{""worker_id"":""WRK-DEMO-001""}",due_at,ACTION,high,REQUIRE_HR_REVIEW,체류연장 준비 업무카드,DRAFT
SEED-008,TEAM_SYNTHETIC,INTERNAL_REQUEST,7월 31일 계약 만료자 재계약 준비해줘,대상자 목록 조회 가능,EXPIRY_RENEWAL,CONTRACT,WF-CON-001,"{""due_at"":""2026-07-31T23:59:00+09:00""}",worker_id,ACTION,high,REQUEST_CLARIFICATION,대상자 선택 화면,DRAFT
SEED-009,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-002 계약을 2026년 9월 1일부터 연장할 준비를 해줘,계약종료일 DB 존재,EXPIRY_RENEWAL,CONTRACT,WF-CON-001,"{""worker_id"":""WRK-DEMO-002"",""due_at"":""2026-08-31T23:59:00+09:00"",""effective_at"":""2026-09-01T00:00:00+09:00""}",,ACTION,high,REQUIRE_HR_REVIEW,재계약 의사확인 업무카드,DRAFT
SEED-010,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,이번 주에 신고나 연장할 사람이 있는지 확인해줘,만료일 DB 존재,EXPIRY_RENEWAL,STAY|CONTRACT,WF-STY-001|WF-CON-001,"{}",worker_id|due_at,TIME|TARGET,high,SPLIT_AND_CONFIRM,체류·계약 후보 업무카드,DRAFT
SEED-011,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-003에게 2026년 7월 24일 오후 5시까지 여권 사본을 총무팀에 제출해달라고 안내해줘,근로자 언어 vi-VN,DOCUMENT_REQUEST,DOCUMENT,WF-DOC-001,"{""worker_id"":""WRK-DEMO-003"",""document_type"":""PASSPORT_COPY"",""due_at"":""2026-07-24T17:00:00+09:00"",""submission_channel"":""HR_OFFICE""}",,,medium,CREATE_DRAFT_TASK,다국어 서류 요청 초안,DRAFT
SEED-012,TEAM_SYNTHETIC,WORKER_MESSAGE,금요일까지 외국인등록증 사본 내라고 해줘,대상 근로자 미선택,DOCUMENT_REQUEST,DOCUMENT,WF-DOC-001,"{""document_type"":""ALIEN_REGISTRATION_CARD_COPY""}",worker_id|due_at|submission_channel,TIME|TARGET,medium,REQUEST_CLARIFICATION,대상·기한·제출처 질문,DRAFT
SEED-013,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-004가 아직 안 낸 서류 확인해줘,문서상태 DB 존재,DOCUMENT_REQUEST,DOCUMENT,WF-DOC-001,"{""worker_id"":""WRK-DEMO-004""}",document_type|due_at|submission_channel,OBJECT,medium,REQUEST_CLARIFICATION,미제출 서류 후보 목록,DRAFT
SEED-014,INTERVIEW_DERIVED_ANON,WORKER_MESSAGE,재직증명서를 은행에 낼 수 있게 발급 준비해줘,근로자 선택됨,DOCUMENT_REQUEST,GENERAL_ADMIN|DOCUMENT,WF-ADM-001,"{""worker_id"":""WRK-DEMO-005"",""document_type"":""EMPLOYMENT_CERTIFICATE""}",due_at,,medium,REQUEST_CLARIFICATION,필요일 확인 질문,DRAFT
SEED-015,TEAM_SYNTHETIC,WORKER_MESSAGE,병원 갔다 올 때 그 서류 떼 오라고 알려줘,대상 미선택,DOCUMENT_REQUEST,DOCUMENT,WF-DOC-001,"{}",worker_id|document_type|due_at|submission_channel,OBJECT|TARGET|TIME,medium,REQUEST_CLARIFICATION,정확한 서류·대상·기한 질문,DRAFT
SEED-016,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-006 이번 달 월급이 지난달보다 적은 이유 설명해줘,당월 급여명세서 선택됨,PAYROLL_EXPLANATION,PAYROLL|ATTENDANCE,WF-PAY-001,"{""worker_id"":""WRK-DEMO-006"",""pay_period"":""2026-06"",""comparison_period"":""2026-05"",""source_document_id"":""DOC-PAY-006""}",,,high,REQUIRE_HR_REVIEW,항목별 차이 계산과 설명 초안,DRAFT
SEED-017,TEAM_SYNTHETIC,AGENT_TASK,이번 급여에 야간수당이 왜 없는지 확인해줘,근로자·명세서 미선택,PAYROLL_EXPLANATION,PAYROLL,WF-PAY-001,"{""pay_item"":""NIGHT_WORK_ALLOWANCE""}",worker_id|pay_period|source_document_id,TIME|TARGET,high,REQUEST_CLARIFICATION,대상·귀속월·명세서 선택 요청,DRAFT
SEED-018,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-007에게 7월 급여에서 기숙사비 15만원이 공제됐다고 설명해줘,7월 명세서 선택됨,PAYROLL_EXPLANATION,PAYROLL,WF-PAY-001,"{""worker_id"":""WRK-DEMO-007"",""pay_period"":""2026-07"",""pay_item"":""DORMITORY_DEDUCTION"",""source_document_id"":""DOC-PAY-007""}",,,high,REQUIRE_HR_REVIEW,공제 근거 설명 초안,DRAFT
SEED-019,INTERVIEW_DERIVED_ANON,AGENT_TASK,월급에서 만원이 덜 들어왔다는데 이유 찾아줘,대상·명세서 미선택,PAYROLL_EXPLANATION,PAYROLL,WF-PAY-001,"{}",worker_id|pay_period|source_document_id,AMOUNT|TARGET,high,REQUEST_CLARIFICATION,근로자와 급여명세서 선택 요청,DRAFT
SEED-020,TEAM_SYNTHETIC,WORKER_MESSAGE,이번 달 급여는 회사 사정으로 다음 달에 줄 거라고 알려줘,근거 문서 없음,PAYROLL_EXPLANATION,PAYROLL,WF-PAY-001,"{}",worker_id|pay_period|source_document_id,TIME|TARGET,critical,REQUIRE_HR_REVIEW,위험표현 차단과 전문가 확인 티켓,DRAFT
SEED-021,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-008에게 2026년 7월 20일부터 오전 7시 30분에 출근하라고 안내해줘,근로자 언어 id-ID,WORK_INSTRUCTION,WORK_SCHEDULE,WF-INS-001,"{""worker_id"":""WRK-DEMO-008"",""effective_at"":""2026-07-20T07:30:00+09:00"",""work_action"":""오전 7시 30분까지 출근""}",,,medium,CREATE_DRAFT_TASK,근무시간 변경 안내 초안,DRAFT
SEED-022,TEAM_SYNTHETIC,WORKER_MESSAGE,오늘 오후에 저쪽 팔레트를 출하장으로 옮기라고 해줘,대상 미선택,WORK_INSTRUCTION,WORK_SCHEDULE,WF-INS-001,"{""work_action"":""팔레트를 출하장으로 이동""}",worker_id|effective_at,TIME|LOCATION|TARGET,medium,REQUEST_CLARIFICATION,대상·시각·팔레트 위치 질문,DRAFT
SEED-023,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-009에게 출근이 늦으면 오전 7시 50분까지 반장에게 연락하라고 안내해줘,연락처 회사 템플릿 존재,WORK_INSTRUCTION,ATTENDANCE,WF-INS-001,"{""worker_id"":""WRK-DEMO-009"",""effective_at"":""2026-07-17T07:50:00+09:00"",""work_action"":""지각 예상 시 현장반장에게 연락""}",,TIME,medium,CREATE_DRAFT_TASK,근태 연락 절차 안내 초안,DRAFT
SEED-024,TEAM_SYNTHETIC,WORKER_MESSAGE,다음 교대조 전에 냉각수 수치를 확인하고 기록하라고 알려줘,대상 미선택,WORK_INSTRUCTION,WORK_SCHEDULE,WF-INS-001,"{""work_action"":""냉각수 수치 확인 및 기록""}",worker_id|effective_at|work_location,TIME|LOCATION|TARGET,medium,REQUEST_CLARIFICATION,교대시각·설비위치·대상 질문,DRAFT
SEED-025,TEAM_SYNTHETIC,AGENT_TASK,명절 당일에는 쉬는 날이라고 공지 만들어줘,연도·대상 미정,WORK_INSTRUCTION,WORK_SCHEDULE,WF-INS-001,"{""work_action"":""휴무 안내""}",worker_id|effective_at,TIME|TARGET,medium,REQUEST_CLARIFICATION,정확한 날짜와 대상 질문,DRAFT
