"review_case_id","source_record_id","review_priority","boundary_flags","hr_input","current_intents_json","reviewer_code","decision","proposed_intents_json","review_note"
"INT-RVW-0020","20","HIGH","PAYROLL_ACCOUNT","WRK-155님 통장 사본 제출 부탁드립니다","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장 사본 제출 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0026","26","HIGH","EXTERNAL_EXECUTION","WRK-256님께 최근 출입국사실증명 제출받아주세요","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""출입국사실증명 제출받아주세요""}]","A","KEEP","",""
"INT-RVW-0053","53","HIGH","EXTERNAL_EXECUTION","WRK-338 고용보험 신규 취득 신고 처리","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 신규 취득 신고 처리""}]","A","KEEP","",""
"INT-RVW-0056","56","HIGH","PAYROLL_ACCOUNT","첨부된 계약서 기준으로 WRK-681님 급여계좌 초기 등록","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 초기 등록""}]","A","KEEP","","이미 첨부된 계약서를 바탕으로 급여계좌 정보를 초기 등록하는 업무이므로 WORKER_ONBOARDING이 적절함"
"INT-RVW-0063","63","HIGH","EXTERNAL_EXECUTION","WRK-458님 사업장 변경 신청 접수됐는지 확인해주세요","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 신청 접수됐는지 확인""}]","A","KEEP","",""
"INT-RVW-0068","68","HIGH","EXTERNAL_EXECUTION","WRK-103 육아휴직 신청 접수 확인해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 신청 접수 확인""}]","A","KEEP","",""
"INT-RVW-0069","69","HIGH","EXTERNAL_EXECUTION","WRK-214님 연락 두절 5일째, 실종신고 검토 필요","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락 두절 5일째, 실종신고 검토 필요""}]","A","KEEP","",""
"INT-RVW-0072","72","HIGH","EXTERNAL_EXECUTION","WRK-547 사업장 이동으로 재직 상태 변경 신고","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 이동으로 재직 상태 변경 신고""}]","A","KEEP","",""
"INT-RVW-0073","73","HIGH","EXTERNAL_EXECUTION","WRK-658님 무단이탈 확인되어 신고 절차 진행","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단이탈 확인되어 신고 절차 진행""}]","A","KEEP","",""
"INT-RVW-0074","74","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-769 결혼으로 인한 장기휴가 신청 접수","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""결혼으로 인한 장기휴가 신청 접수""}]","A","NEEDS_DISCUSSION","","일반 연차·병가·결혼휴가를 EMPLOYMENT_CHANGE로 볼지, 일정/근태 업무로 분리할지 라벨 규칙 합의가 필요함."
"INT-RVW-0079","79","HIGH","EXTERNAL_EXECUTION","WRK-414 비자 만료일 다가오니 연장 신청 진행해줘","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""비자 만료일 다가오니 연장 신청 진행해줘""}]","A","KEEP","",""
"INT-RVW-0090","90","HIGH","EXTERNAL_EXECUTION","WRK-735님 고용허가기간 연장 신청 진행 부탁드립니다","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""고용허가기간 연장 신청 진행 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0153","153","HIGH","PAYROLL_ACCOUNT","WRK-192님께 은행계좌 개설확인서 받아주세요","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""은행계좌 개설확인서 받아주세요""}]","A","KEEP","",""
"INT-RVW-0156","156","HIGH","EXTERNAL_EXECUTION","WRK-425 코로나 음성확인서 받아서 제출해줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""음성확인서 받아서""}]","A","KEEP","",""
"INT-RVW-0182","182","HIGH","EXTERNAL_EXECUTION","WRK-257 고용보험 최초 취득신고 처리 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 최초 취득신고 처리""}]","A","KEEP","",""
"INT-RVW-0183","183","HIGH","PAYROLL_ACCOUNT","첨부한 자료로 WRK-368님 초기 급여계좌 등록 진행","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""초기 급여계좌 등록 진행""}]","A","KEEP","",""
"INT-RVW-0198","198","HIGH","EXTERNAL_EXECUTION","WRK-813님 사업장 변경 신청서 접수 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 신청서 접수 확인""}]","A","CHANGE","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경""},{""intent"":""DOCUMENT_REQUEST"",""evidence"":""신청서 접수 확인""}]","사업장 변경 업무와 신청서 접수 상태 확인이 함께 명시되어 있어 DOCUMENT_REQUEST를 추가함. 실제 외부기관 접수 실행 요청은 아님."
"INT-RVW-0200","200","HIGH","EXTERNAL_EXECUTION|LONG_EVIDENCE","WRK-035님 잠적한지 일주일째, 무단이탈 신고 검토 필요","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""잠적한지 일주일째, 무단이탈 신고 검토 필요""}]","A","KEEP","",""
"INT-RVW-0203","203","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-368 다음달부터 출산휴가 신청 접수","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""출산휴가 신청 접수""}]","A","KEEP","",""
"INT-RVW-0204","204","HIGH","EXTERNAL_EXECUTION","WRK-479님 연락두절 상태 지속, 이탈 신고 처리 확인","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락두절 상태 지속, 이탈 신고 처리 확인""}]","A","KEEP","","근데 추후에 서류가 필요한 작업"
"INT-RVW-0209","209","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-924 장기 병가 신청 접수 및 상태 변경","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""장기 병가 신청 접수 및 상태 변경""}]","A","KEEP","","근데 추후에 서류가 필요한 작업"
"INT-RVW-0217","217","HIGH","EXTERNAL_EXECUTION","WRK-702님 고용허가서 만료 임박, 연장 신청 진행 부탁드립니다","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""고용허가서 만료 임박, 연장 신청 진행""}]","A","KEEP","",""
"INT-RVW-0218","218","HIGH","COMPLETED_STATUS","WRK-813 체류자격 갱신 절차 이번달 안에 완료","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""체류자격 갱신 절차 이번달 안에 완료""}]","A","KEEP","",""
